split,sample_idx,target_poi_id,target_epoch,traj_len,positive_unique_count,positive_fact_count,parsed_ok,note
train,413,4682,1352332627,2,19,64,True,
train,414,647,1334880299,5,5,8,True,
train,415,647,1335398610,11,6,12,True,
train,416,1226,1335660167,3,4,9,True,
train,417,2979,1335908514,7,3,4,True,
train,418,1299,1336147448,2,2,3,True,
train,419,2979,1336644214,5,4,6,True,
train,420,4485,1336851507,2,3,4,True,
train,421,1538,1337130695,2,15,31,True,
train,422,4485,1334089039,2,0,0,True,
train,423,4870,1339213303,4,2,2,True,
train,424,4307,1339418657,6,4,6,True,
train,425,950,1339996230,4,10,10,True,
train,426,2979,1342195306,2,6,9,True,
train,427,477,1351699951,2,39,43,True,
train,428,4485,1334420447,6,1,1,True,
train,429,159,1335056498,7,3,3,True,
train,430,2979,1335258583,4,2,2,True,
train,431,362,1337216909,11,5,11,True,
train,432,444,1339043084,3,3,3,True,
train,433,362,1334191804,2,1,1,True,
train,434,337,1335018953,8,1,1,True,
train,435,362,1335315658,2,3,6,True,
train,436,3888,1333523331,2,0,0,True,
train,437,356,1339594212,3,295,434,True,
train,438,2649,1339982180,5,5,14,True,
train,439,698,1341374567,3,67,78,True,
train,440,2649,1341985707,2,6,15,True,
train,441,4365,1335178562,3,1,1,True,
train,442,606,1342193778,3,6,7,True,
train,443,2649,1338252596,2,0,0,True,
train,444,2649,1338858204,2,2,2,True,
train,445,2649,1339043096,6,3,7,True,
train,446,621,1339480631,15,130,164,True,
train,447,1926,1333541375,4,1,1,True,
train,448,4544,1335189108,2,5,8,True,
train,449,2796,1335570960,2,6,10,True,
train,450,2796,1336184301,2,6,11,True,
train,451,4544,1336567675,3,8,13,True,
train,452,4544,1336832573,3,9,16,True,
train,453,2796,1337211597,8,10,17,True,
train,454,2796,1337659575,2,11,19,True,
train,455,4544,1339174659,3,12,23,True,
train,456,4544,1339506322,3,13,26,True,
train,457,2796,1339992419,2,13,23,True,
train,458,4544,1341423589,4,15,31,True,
train,459,2796,1342223664,4,16,28,True,
train,460,2796,1342498058,2,16,29,True,
train,461,2796,1343623091,4,18,31,True,
train,462,2796,1334123456,4,2,4,True,
train,463,2796,1344643354,3,19,34,True,
train,464,4544,1346866329,3,19,40,True,
train,465,4544,1347723605,2,21,42,True,
train,466,4544,1334412987,4,3,4,True,
train,467,2796,1334966652,3,4,7,True,
train,468,4468,1337311085,3,5,9,True,
train,469,1829,1339045838,3,10,10,True,
train,470,4894,1341410038,5,10,10,True,
train,471,4468,1342149618,2,15,29,True,
train,472,4468,1352180191,2,18,33,True,
train,473,4468,1336964521,2,4,5,True,
train,474,348,1341307115,2,232,396,True,
train,475,783,1333945795,2,2,2,True,
train,476,1062,1351763378,2,20,44,True,
train,477,783,1335145827,4,7,11,True,
train,478,1250,1333539517,2,1,1,True,
train,479,1035,1336481053,12,3,3,True,
train,480,338,1337067515,15,12,12,True,
train,481,179,1337231618,2,51,58,True,
train,482,203,1337407070,4,4,4,True,
train,483,421,1337658168,3,20,30,True,
train,484,1299,1337972493,4,7,8,True,
train,485,2522,1338515385,2,6,9,True,
train,486,275,1333869706,3,0,0,True,
train,487,1250,1339208333,4,17,20,True,
train,488,1043,1341372859,6,4,7,True,
train,489,135,1341653535,2,4,4,True,
train,490,1494,1343554839,4,20,35,True,
train,491,2522,1344219181,3,7,10,True,
train,492,1569,1334485612,11,1,1,True,
train,493,463,1334672631,3,0,0,True,
train,494,3657,1335096378,8,2,2,True,
train,495,214,1335368045,2,2,2,True,
train,496,4178,1335681108,12,2,2,True,
train,497,1276,1335401592,3,4,7,True,
train,498,1241,1335611013,5,0,0,True,
train,499,1276,1336094232,2,7,10,True,
train,500,1276,1336438727,2,8,12,True,
train,501,1276,1337129770,2,10,17,True,
train,502,1276,1337303456,2,11,19,True,
train,503,1276,1337648339,2,12,21,True,
train,504,1276,1338854980,2,13,23,True,
train,505,2624,1339202867,3,10,14,True,
train,506,1276,1339548326,3,16,29,True,
train,507,2624,1334054696,3,1,2,True,
train,508,1276,1347584953,2,18,32,True,
train,509,2624,1334364925,3,2,4,True,
train,510,2624,1351308107,2,12,16,True,
train,511,1276,1352250464,2,19,34,True,
train,512,1276,1334709356,2,3,4,True,
train,513,1276,1334883722,2,4,6,True,
train,514,3114,1333954377,9,2,3,True,
train,515,2043,1334250567,12,0,0,True,
train,516,874,1334826748,11,0,0,True,
train,517,1258,1335246028,6,4,4,True,
train,518,583,1335595304,6,3,3,True,
train,519,4764,1351730871,2,3,5,True,
train,520,1252,1334839096,2,6,8,True,
train,521,4764,1335516803,4,2,3,True,
train,522,912,1336128110,3,17,18,True,
train,523,2385,1336115633,2,5,6,True,
train,524,2385,1336893475,2,6,8,True,
train,525,4632,1339551995,2,3,5,True,
train,526,2385,1341731932,2,9,12,True,
train,527,4447,1334533580,2,0,0,True,
train,528,4632,1334992483,5,1,2,True,
train,529,4447,1335397920,3,2,2,True,
train,530,4405,1337160016,2,1,1,True,
train,531,1452,1339242532,3,5,5,True,
train,532,656,1349683625,4,70,79,True,
train,533,4405,1334460396,4,0,0,True,
train,534,40,1351191233,2,6,6,True,
train,535,294,1339913827,2,6,6,True,
train,536,374,1341491623,2,5,5,True,
train,537,3867,1352254619,4,6,11,True,
train,538,631,1338286542,2,0,0,True,
train,539,2978,1339480982,2,1,1,True,
train,540,190,1342092948,20,91,97,True,
train,541,621,1333522651,3,0,0,True,
train,542,3321,1337592114,2,8,45,True,
train,543,3161,1338120143,10,3,3,True,
train,544,3321,1338306561,3,10,52,True,
train,545,3274,1338529289,3,12,16,True,
train,546,3274,1338712586,3,13,17,True,
train,547,3321,1339231798,9,13,59,True,
train,548,3715,1339567701,3,13,47,True,
train,549,3321,1334479306,37,2,14,True,
train,550,3589,1339985553,4,13,34,True,
train,551,3589,1340765570,3,14,35,True,
train,552,3321,1341834213,28,17,74,True,
train,553,3321,1342177262,8,18,76,True,
train,554,3372,1342442931,5,9,9,True,
train,555,3589,1344824153,12,19,46,True,
train,556,3321,1335183155,25,3,23,True,
train,557,3321,1345280444,3,21,84,True,
train,558,3589,1350088752,3,20,48,True,
train,559,3589,1351044534,3,21,50,True,
train,560,2291,1351389290,2,4,7,True,
train,561,3321,1336307924,9,4,29,True,
train,562,515,1336538098,5,2,2,True,
train,563,3589,1337146246,21,7,25,True,
train,564,3321,1337421780,6,7,43,True,
train,565,234,1341535190,6,117,231,True,
train,566,1126,1341794956,3,2,2,True,
train,567,700,1342187784,7,10,10,True,
train,568,1818,1342436873,4,5,5,True,
train,569,1818,1344937477,3,6,7,True,
train,570,3185,1336954400,2,3,3,True,
train,571,820,1337168793,2,0,0,True,
train,572,1557,1336920818,7,5,8,True,
train,573,1670,1339005962,3,5,10,True,
train,574,1670,1339623494,3,7,12,True,
train,575,1557,1340217214,2,9,15,True,
train,576,1465,1334902946,5,2,2,True,
train,577,1557,1341417897,2,12,18,True,
train,578,1569,1341831415,3,9,11,True,
train,579,1557,1342596877,2,15,22,True,
train,580,1670,1335133368,3,2,4,True,
train,581,1670,1335599059,4,2,5,True,
train,582,4739,1336088888,2,0,0,True,
train,583,1770,1347699352,12,2,2,True,
train,584,2289,1350082328,9,26,32,True,
train,585,928,1351352483,10,8,9,True,
train,586,3073,1333523487,3,1,3,True,
train,587,2127,1338101498,13,4,8,True,
train,588,3215,1338532945,4,8,16,True,
train,589,4105,1338729630,3,11,17,True,
train,590,3073,1339615015,31,10,74,True,
train,591,3073,1339961111,3,11,78,True,
train,592,3073,1340774894,2,12,81,True,
train,593,3073,1335194279,80,2,35,True,
train,594,2006,1341075277,2,10,18,True,
train,595,1439,1341477229,9,5,6,True,
train,596,4121,1341811862,3,6,8,True,
train,597,3073,1342204976,10,15,91,True,
train,598,2127,1342594610,13,10,18,True,
train,599,3073,1335366478,5,3,37,True,
train,600,3720,1335682930,14,2,5,True,
train,601,3720,1336208349,18,2,6,True,
train,602,3298,1337234763,39,3,16,True,
train,603,3720,1337418228,3,4,8,True,
train,604,1494,1336366606,4,7,15,True,
train,605,401,1336524105,5,13,15,True,
train,606,3144,1334240811,14,1,2,True,
train,607,3144,1339440647,2,4,9,True,
train,608,1048,1341066806,4,7,8,True,
train,609,621,1341231966,7,140,177,True,
train,610,621,1341561754,8,144,186,True,
train,611,1729,1341827955,3,4,4,True,
train,612,621,1341998626,2,152,197,True,
train,613,401,1342173178,3,25,37,True,
train,614,621,1342502476,3,161,208,True,
train,615,192,1334412025,5,22,27,True,
train,616,1729,1343468062,6,5,5,True,
train,617,3144,1343584855,4,6,11,True,
train,618,2436,1344702714,6,33,54,True,
train,619,401,1344941899,2,33,54,True,
train,620,401,1345290043,3,37,58,True,
train,621,4675,1347715693,8,1,1,True,
train,622,401,1334658307,5,3,4,True,
train,623,1356,1350085195,4,16,39,True,
train,624,1022,1350342712,3,17,32,True,
train,625,1832,1350995167,4,13,17,True,
train,626,4971,1351438574,3,28,31,True,
train,627,4147,1352244338,13,6,7,True,
train,628,3144,1335077743,17,2,6,True,
train,629,3144,1335383589,6,2,7,True,
train,630,2436,1335621778,7,12,23,True,
train,631,3144,1335886392,2,3,8,True,
train,632,2436,1336213266,4,14,27,True,
train,633,746,1333516099,6,2,3,True,
train,634,356,1334972855,59,81,114,True,
train,635,356,1335504663,21,103,152,True,
train,636,580,1335685142,4,6,37,True,
train,637,356,1336122517,11,126,182,True,
train,638,580,1336468749,6,7,43,True,
train,639,580,1337236026,2,9,45,True,
train,640,1990,1336950357,2,2,4,True,
train,641,1990,1339456865,3,3,7,True,
train,642,1990,1334616580,2,1,2,True,
train,643,2310,1333525081,3,1,1,True,
train,644,3967,1336692086,2,6,16,True,
train,645,3967,1337296670,20,8,22,True,
train,646,3967,1337643242,2,9,24,True,
train,647,3355,1337768091,2,1,1,True,
train,648,2310,1338129990,6,12,35,True,
train,649,1669,1338279546,2,9,10,True,
train,650,2310,1338533813,4,13,37,True,
train,651,3967,1338851981,9,12,28,True,
train,652,3967,1339135447,8,13,33,True,
train,653,2310,1333802404,2,2,3,True,
train,654,3967,1339717462,20,14,40,True,
train,655,2310,1340002702,4,16,49,True,
train,656,2310,1334153466,4,3,6,True,
train,657,3967,1334531391,8,1,2,True,
train,658,3967,1335311256,18,3,9,True,
train,659,2310,1335686846,10,6,20,True,
train,660,698,1336126462,6,23,24,True,
train,661,3967,1336346985,4,5,15,True,
train,662,3225,1336980486,6,5,6,True,
train,663,3225,1351039215,2,5,7,True,
train,664,3819,1351224539,2,8,15,True,
train,665,4122,1333961970,3,0,0,True,
train,666,3225,1334549123,4,1,1,True,
train,667,3225,1335244471,5,4,4,True,
train,668,1058,1335407077,3,3,5,True,
train,669,1412,1335685390,2,0,0,True,
